date,value
2/18/2000,0.2536
3/5/2000,0.2162
3/21/2000,0.2616
4/6/2000,0.2334
4/22/2000,0.3575
5/8/2000,0.3785
5/24/2000,0.4603
6/9/2000,0.382
6/25/2000,0.3335
7/11/2000,0.3279
7/27/2000,0.3312
8/12/2000,0.2924
8/28/2000,0.3319
9/13/2000,0.3582
9/29/2000,0.3377
10/15/2000,0.2585
10/31/2000,0.384
11/16/2000,0.3584
12/2/2000,0.304
12/18/2000,0.2857
1/1/2001,0.3084
1/17/2001,0.2434
2/2/2001,0.3587
2/18/2001,0.3092
3/6/2001,0.4274
3/22/2001,0.3454
4/7/2001,0.4528
4/23/2001,0.4292
5/9/2001,0.4626
5/25/2001,0.3613
6/10/2001,0.3368
6/26/2001,0.345
7/12/2001,0.3079
7/28/2001,0.2903
8/13/2001,0.3182
8/29/2001,0.3355
9/14/2001,0.3554
9/30/2001,0.3701
10/16/2001,0.3595
11/1/2001,0.3282
11/17/2001,0.2781
12/3/2001,0.2132
12/19/2001,0.2866
1/1/2002,0.0655
1/17/2002,0.3188
2/2/2002,0.2152
2/18/2002,0./2019
3/6/2002,0.3017
3/22/2002,0.1169
4/7/2002,0.3171
4/23/2002,0.3444
5/9/2002,0.4346
5/25/2002,0.3749
6/10/2002,0.3838
6/26/2002,0.3946
7/12/2002,0.4123
7/28/2002,0.3436
8/13/2002,0.3615
8/29/2002,0.4059
9/14/2002,0.3663
9/30/2002,0.3634
10/16/2002,0.43
11/1/2002,0.3731
11/17/2002,0.2823
12/3/2002,0.3981
12/19/2002,0.307
1/1/2003,0.2093
1/17/2003,0.2655
2/2/2003,0.2677
2/18/2003,0.0958
3/6/2003,0.2215
3/22/2003,0.2726
4/7/2003,0.2843
4/23/2003,0.4544
5/9/2003,0.41
5/25/2003,0.3761
6/10/2003,0.3879
6/26/2003,0.3582
7/12/2003,0.3509
7/28/2003,0.2886
8/13/2003,0.3287
8/29/2003,0.3273
9/14/2003,0.3961
9/30/2003,0.3702
10/16/2003,0.3185
11/1/2003,0.4502
11/17/2003,0.5116
12/3/2003,0.1513
12/19/2003,0.4313
1/1/2004,0.107
1/17/2004,0.3979
2/2/2004,0.215
2/18/2004,0.195
3/5/2004,0.3196
3/21/2004,0.3755
4/6/2004,0.2445
4/22/2004,0.4405
5/8/2004,0.3456
5/24/2004,0.3851
6/9/2004,0.4363
6/25/2004,0.3615
7/11/2004,0.3676
7/27/2004,0.3838
8/12/2004,0.4451
8/28/2004,0.4642
9/13/2004,0.4043
9/29/2004,0.4168
10/15/2004,0.4528
10/31/2004,0.3022
11/16/2004,0.4479
12/2/2004,0.4508
12/18/2004,0.2209
1/1/2005,0.2391
1/17/2005,0.3112
2/2/2005,0.039
2/18/2005,0.3994
3/6/2005,0./2018
3/22/2005,0.4391
4/7/2005,0.2881
4/23/2005,0.4715
5/9/2005,0.3874
5/25/2005,0.4143
6/10/2005,0.3352
6/26/2005,0.4057
7/12/2005,0.4147
7/28/2005,0.3456
8/13/2005,0.3308
8/29/2005,0.3422
9/14/2005,0.4064
9/30/2005,0.3562
10/16/2005,0.3917
11/1/2005,0.3702
11/17/2005,0.4143
12/3/2005,0.5215
12/19/2005,0.421
1/1/2006,0.421
1/17/2006,0.206
2/2/2006,0.261
2/18/2006,0.2756
3/6/2006,0.3383
3/22/2006,0.279
4/7/2006,0.3458
4/23/2006,0.4661
5/9/2006,0.4486
5/25/2006,0.3674
6/10/2006,0.4417
6/26/2006,0.3821
7/12/2006,0.2809
7/28/2006,0.3247
8/13/2006,0.3263
8/29/2006,0.4012
9/14/2006,0.3576
9/30/2006,0.3297
10/16/2006,0.2779
11/1/2006,0.4263
11/17/2006,0.4297
12/3/2006,0.3079
12/19/2006,0.3151
1/1/2007,0.3568
1/17/2007,0.3053
2/2/2007,0.2903
2/18/2007,0.2219
3/6/2007,0.226
3/22/2007,0.3795
4/7/2007,0.3028
4/23/2007,0.3276
5/9/2007,0.4389
5/25/2007,0.4098
6/10/2007,0.3401
6/26/2007,0.3533
7/12/2007,0.4202
7/28/2007,0.351
8/13/2007,0.3163
8/29/2007,0.2945
9/14/2007,0.3292
9/30/2007,0.3213
10/16/2007,0.4024
11/1/2007,0.3572
11/17/2007,0.3172
12/3/2007,0.3644
12/19/2007,0.2738
1/1/2008,0.3295
1/17/2008,0.2118
2/2/2008,0.2235
2/18/2008,0.2475
3/5/2008,0.2996
3/21/2008,0.3289
4/6/2008,0.4393
4/22/2008,0.4696
5/8/2008,0.3802
5/24/2008,0.3962
6/9/2008,0.4658
6/25/2008,0.3729
7/11/2008,0.3614
7/27/2008,0.4007
8/12/2008,0.4158
8/28/2008,0.3975
9/13/2008,0.3175
9/29/2008,0.4083
10/15/2008,0.3617
10/31/2008,0.2899
11/16/2008,0.3766
12/2/2008,0.3839
12/18/2008,0.2475
1/1/2009,0.1804
1/17/2009,0.3351
2/2/2009,0.3
2/18/2009,0.0154
3/6/2009,0.4243
3/22/2009,0.3078
4/7/2009,0.3729
4/23/2009,0.3687
5/9/2009,0.4599
5/25/2009,0.4561
6/10/2009,0.3689
6/26/2009,0.4371
7/12/2009,0.4171
7/28/2009,0.4126
8/13/2009,0.3878
8/29/2009,0.3813
9/14/2009,0.405
9/30/2009,0.4675
10/16/2009,0.3784
11/1/2009,0.3581
11/17/2009,0.3758
12/3/2009,0.3265
12/19/2009,0.2959
1/1/2010,0.2959
1/17/2010,0.0296
2/2/2010,0.311
2/18/2010,0.37
3/6/2010,0.4308
3/22/2010,0.302
4/7/2010,0.3333
4/23/2010,0.3857
5/9/2010,0.47
5/25/2010,0.5154
6/10/2010,0.4166
6/26/2010,0.3371
7/12/2010,0.4844
7/28/2010,0.468
8/13/2010,0.4413
8/29/2010,0.411
9/14/2010,0.4111
9/30/2010,0.3628
10/16/2010,0.4283
11/1/2010,0.4494
11/17/2010,0.4245
31/2/2010,0.4267
12/19/2010,0.3053
1/1/2011,0.3053
1/17/2011,0.2947
2/2/2011,0.2372
2/18/2011,0.2608
3/6/2011,0.3477
3/22/2011,0.3215
4/7/2011,0.2979
4/23/2011,0.3777
5/9/2011,0.4591
5/25/2011,0.4376
6/10/2011,0.4382
6/26/2011,0.4058
7/12/2011,0.4681
7/28/2011,0.4667
8/13/2011,0.4628
8/29/2011,0.3677
9/14/2011,0.3491
9/30/2011,0.4096
10/16/2011,0.4448
11/1/2011,0.5011
11/17/2011,0.338
12/3/2011,0.3966
12/19/2011,0.3862
1/1/2012,0.3862
1/17/2012,0.3633
2/2/2012,0.363
2/18/2012,0.3462
3/5/2012,0.196
3/21/2012,0.2426
4/6/2012,0.4239
4/22/2012,0.4772
5/8/2012,0.5066
5/24/2012,0.5249
6/9/2012,0.5624
6/25/2012,0.4763
7/11/2012,0.4701
7/27/2012,0.3971
8/12/2012,0.4296
8/28/2012,0.5034
9/13/2012,0.443
9/29/2012,0.388
10/15/2012,0.3863
10/31/2012,0.3987
11/16/2012,0.4515
2/2/2012_A,0.3604
12/18/2012,0.2437
1/1/2013,0.2437
1/17/2013,0.3779
2/2/2013,0.3984
2/18/2013,0.2435
3/6/2013,0.2914
3/22/2013,0.3794
4/7/2013,0.493
4/23/2013,0.4562
5/9/2013,0.4293
5/25/2013,0.486
6/10/2013,0.4944
6/26/2013,0.4603
7/12/2013,0.4384
7/28/2013,0.3951
8/13/2013,0.4075
8/29/2013,0.4222
9/14/2013,0.427
9/30/2013,0.4341
10/16/2013,0.4576
11/1/2013,0.3413
11/17/2013,0.3049
12/3/2013,0.3136
12/19/2013,0.478
1/1/2014,0.2481
1/17/2014,0.3305
2/2/2014,0.3916
2/18/2014,0.3948
3/6/2014,0.3073
3/22/2014,0.3424
4/7/2014,0.3252
4/23/2014,0.4534
5/9/2014,0.5
5/25/2014,0.45
6/10/2014,0.4192
6/26/2014,0.4704
7/12/2014,0.5319
7/28/2014,0.4043
8/13/2014,0.5145
8/29/2014,0.4698
9/14/2014,0.4616
9/30/2014,0.4813
10/16/2014,0.4263
11/1/2014,0.314
11/17/2014,0.1026
12/3/2014,0.2686
12/19/2014,0.4736
1/1/2015,0.3169
1/17/2015,0.2478
2/2/2015,0.3664
2/18/2015,0.2136
3/6/2015,0.2313
3/22/2015,0.3347
4/7/2015,0.4027
4/23/2015,0.446
5/9/2015,0.4846
